,Longitudes,Latitudes
0,74.797,34.0839
1,74.797,34.0839
2,74.88333333,34.08333333
3,76.24,33.45
4,78.1786095,18.691521299999998
5,51.36498265,24.8936936
6,75.1520915,33.86512435
7,72.35549850000001,30.864107500000003
8,75.1520915,33.86512435
9,88.35224200000002,22.6127055
10,72.35549850000001,30.864107500000003
11,82.5841815,19.9387045
12,74.82682565,34.06254155
13,81.8644645,21.2814035
14,-79.42086499999999,38.003375500000004
15,4.3640877,51.9994547
16,85.29276999999999,25.5082565
17,81.8644645,21.2814035
18,-1.8906405,52.4939665
19,73.8178207,15.58721065
20,72.35549850000001,30.864107500000003
21,77.5564225,13.075209
22,75.96818400000001,22.6714825
23,75.96818400000001,22.6714825
24,73.0768205,33.712430999999995
25,76.7159785,23.3932015
26,77.095086,28.6384895
27,72.874244,19.17414
28,77.5584482,12.923114649999999
29,75.85974300000001,25.021983999999996
30,-97.552161,35.4828435
31,-97.552161,35.4828435
32,74.3584865,31.531819499999997
33,75.74752075,26.9096832
34,72.636678,22.980926999999998
35,73.8843818,18.52076405
36,72.874244,19.17414
37,75.1520915,33.86512435
38,72.874244,19.17414
39,80.88440750000001,26.8251695
40,75.0684066,32.65784815
41,76.42905465000001,34.67690515
42,73.03794500000001,33.603096
43,77.5584482,12.923114649999999
44,80.30545368390348,26.449356511758864
45,84.440852,20.188653000000002
46,75.1520915,33.86512435
47,73.91007735,18.50816125
48,-79.2725695,43.629311
49,76.64565995,12.284442349999999
50,75.0684066,32.65784815
51,77.095086,28.6384895
52,75.1520915,33.86512435
53,77.095086,28.6384895
54,53.83778635,24.4542542
55,76.974691,28.368524999999998
56,68.88915850000001,26.116357
57,88.35224200000002,22.6127055
58,75.414748,31.060139000000003
59,75.0684066,32.65784815
60,77.095086,28.6384895
61,68.88915850000001,26.116357
62,68.88915850000001,26.116357
63,55.551172349999995,24.99346225
64,80.27418745,13.1065814
65,76.42905465000001,34.67690515
66,72.35549850000001,30.864107500000003
67,77.095086,28.6384895
68,77.095086,28.6384895
69,77.095086,28.6384895
70,76.59674150000001,28.892772
71,-77.101999,38.8808445
72,76.42905465000001,34.67690515
73,-77.101999,38.8808445
74,77.095086,28.6384895
75,72.874244,19.17414
76,81.8644645,21.2814035
77,74.73630415,34.17713365
