,Id,Name,Location,FollowersCount,FriendsCount,RetweetCount,TweetCount,Score
776,784564429480484865,Zeeshan Khan,"Washington, DC | Kashmir",2112.0,149.0,721,104,10306
773,1927728913,Naveed Riaz,LONDON,4110.0,791.0,0,207,10285
772,247667563,Bashir Manzar,Srinagar,4623.0,482.0,0,104,10281
774,464174395,Salman Javed,"Islamabad, Pakistan",3900.0,956.0,206,104,10277
775,2329917772,Saimkhan 🇵🇰,,4613.0,4985.0,0,104,10261
777,39016603,Manohar Kumar,India,4604.0,87.0,0,104,10243
778,980651867876286466,Tabinda M. Khan,nomad,4089.0,399.0,0,207,10243
779,2772559068,aashi rajput,Pakistan,4585.0,590.0,0,104,10205
780,49582983,Eternal Optimist 🎉,❤️India,4580.0,427.0,0,104,10195
785,1009078298159341568,Dr Zulfiqar Ahmed,United Kingdom,3017.0,2751.0,0,413,10159
781,1171662553,संग्राम सिंह/SANGRAM SINGH,"Talwara, India",4562.0,4986.0,0,104,10159
782,943880067624652801,❤ShaKeeL❤ لغاری,"Karachi, Pakistan",4560.0,222.0,0,104,10155
783,3176049258,℘ʂყƈɧơ  🐰,"Punjab, Pakistan",4553.0,3594.0,0,104,10141
784,1090327911658340352,Mujtaba_Official⭕️,,4550.0,4482.0,0,104,10135
786,797068819328106496,سیف‏ الله🇵🇰🇹🇷,"İstanbul, Türkiye",4544.0,4171.0,0,104,10123
788,78396941,shwetzonly,Mithila/New Delhi,4181.0,141.0,103,104,10118
787,1006157850966667264,Usman Rajput,"Islamabad, Pakistan",4541.0,2249.0,0,104,10117
789,733010637492785152,Rooter - Live Sports App,India,4178.0,1989.0,103,104,10112
790,912656819356549123,Dr. Sankar Bhatta,"Silchar, India",4525.0,4421.0,0,104,10085
791,1475039970,,,4004.0,275.0,0,207,10073
794,1043752503794262018,🇵🇰🇵🇰KASHMIR - The Bleeding Paradise 🇵🇸🇵🇸,India Occupied Kashmir,385.0,380.0,0,928,10045
792,700652911848718336,mirzashabir2481@gmai,"Rawalpindi, Pakistan",4502.0,85.0,0,104,10039
793,4728105667,🇮🇳 नमो नम: 🇮🇳,"Uttar Pradesh, India",3975.0,897.0,0,207,10015
796,817061946960662528,Daneen,Sabzi Waèr,369.0,38.0,1030,207,10013
800,746684731698253825,पूर्वांचल पीपुल्स पार्टी PPP,"New Delhi, India",1122.0,243.0,515,413,9974
799,1049297819503288321,Arpita Jana🇮🇳,India,1429.0,199.0,721,207,9970
795,966555589244538880,🌹प्रियान्त🌹,घर में 😜,4461.0,634.0,0,104,9957
802,1090815696764919808,SameerSaad,"Azad Kashmir Province, Pakista",443.0,548.0,412,619,9955
798,1083965169015902209,Bakhtawar Gillani,"Punjab, Pakistan",3934.0,2000.0,0,207,9933
797,2459607017,s.a.prajapati,"Bhandup West, Mumbai",4445.0,1791.0,0,104,9925
807,955319993545076742,Rajendera Kumarz,,110.0,34.0,1236,104,9907
801,1380397140,Jonny,ishtihari,4431.0,151.0,0,104,9897
803,764545403517800448,Fatima Alvi,,4413.0,4423.0,0,104,9861
810,1242570896,Mark Collins,"Ottawa, Ontario",1476.0,121.0,103,619,9858
804,39111809,Zahra Hidayatullah,Somewhere between here & there,4407.0,820.0,0,104,9849
805,993766766840033280,*J_W*SHAIKH.🌹thankyou Zaheer uncle 🎩,"Pakistan,",3376.0,3546.0,0,310,9847
806,2966594078,Senthil Andavan🇮🇳,,4394.0,5077.0,0,104,9823
808,879118556788531200,Uroosa Shah 💫,Mareekh,4388.0,107.0,0,104,9811
809,872417496829177856,Jan Muhammad Khan Achakzai.,"Dubai, United Arab Emirates",4383.0,3937.0,0,104,9801
